طابع زمني,Q1. What type of problem excites you the most,"Q2. In a team project, which role feels most, you","Q3. When you see a new technology, your first thought is",Q4. Which type of course would you enjoy most,Q5. Which challenge sounds more fun,Q6. What type of tools do you like working with,Q7. Which subject did you enjoy most,"Q8. Imagine your future job, what excites you more",:Q9. Your favorite type of project would be,Q10. Which statement describes you best,"Q11 (Final – Label): Based on your answers, which major interests you most",Check
8:10:00 ص 2025/09/25,Creating smooth and beautiful interfaces,Designing how users will interact with it,How can I build something useful with this?,Game Design and Development,Creating a to-do list app that everyone likes,,Mathematics and Logic,Turning data into business decisions,UI redesign of a popular app,“I care about how apps look and feel”,Game Development,KEEP
8:21:28 ص 2025/09/25,Building an app or website that people can use,Designing how users will interact with it,How can I build something useful with this?,UI/UX and Interaction Design,Creating a to-do list app that everyone likes,"Figma, Adobe XD",Mathematics and Logic,Developing useful applications,E-commerce website or mobile app,“I enjoy building things people can use”,Application / Web Development,KEEP
9:27:40 ص 2025/09/25,Building an app or website that people can use,Writing the algorithm that makes it smart,What data can I gather and analyze from this?,Data Science and Big Data Analytics,Developing a multiplayer game,"Python, ML libraries (TensorFlow, PyTorch)",Computer Programming,Developing useful applications,Data dashboard for decision makers,"“I think logically and love algorithms""",Data Science / Analytics,KEEP
10:07:15 ص 2025/09/25,Teaching a computer to learn and make predictions,Building the main functionality of the app,How can I build something useful with this?,Machine Learning and AI,Predicting future sales using past data,"Python, ML libraries (TensorFlow, PyTorch)",Computer Programming,Building AI solutions,AI-based recommendation system,“I enjoy building things people can use”,Artificial Intelligence / Machine Learning,KEEP
10:21:50 ص 2025/09/25,Creating smooth and beautiful interfaces,Building the main functionality of the app,How can I make it look and feel amazing?,Web/App Development,Developing a multiplayer game,"Python, ML libraries (TensorFlow, PyTorch)",Arts and Creative Design,Developing useful applications,E-commerce website or mobile app,“I enjoy building things people can use”,Application / Web Development,KEEP
10:55:58 ص 2025/09/25,Teaching a computer to learn and make predictions,Writing the algorithm that makes it smart,How can I make this learn by itself?,Machine Learning and AI,Stopping a simulated cyber-attack,"Python, ML libraries (TensorFlow, PyTorch)",Computer Programming,Building AI solutions,AI-based recommendation system,“I enjoy building things people can use”,Artificial Intelligence / Machine Learning,KEEP
1:11:48 م 2025/09/25,Creating smooth and beautiful interfaces,Designing how users will interact with it,How can I build something useful with this?,UI/UX and Interaction Design,Stopping a simulated cyber-attack,"Wireshark, Kali Linux",Networking and Systems,Designing experiences people like,UI redesign of a popular app,“I enjoy designing and making fun experiences”,UI/UX Design,KEEP
1:55:56 م 2025/09/26,Designing fun and interactive games,Writing the algorithm that makes it smart,How can I build something useful with this?,Game Design and Development,Developing a multiplayer game,"Excel, PowerBI, Jupyter Notebooks",Arts and Creative Design,Developing useful applications,E-commerce website or mobile app,“I enjoy designing and making fun experiences”,Game Development,KEEP
1:57:53 م 2025/09/26,Discovering hidden insights from big datasets,Building the main functionality of the app,How can I make it look and feel amazing?,UI/UX and Interaction Design,Predicting future sales using past data,"Excel, PowerBI, Jupyter Notebooks",Security and Risk,Turning data into business decisions,Penetration testing of a company network,“I care about how apps look and feel”,UI/UX Design,KEEP
2:25:42 م 2025/09/26,Designing fun and interactive games,Designing game mechanics and levels,Can I make a game with this tech?,Game Design and Development,Developing a multiplayer game,"Unity, Unreal Engine",Arts and Creative Design,Creating entertaining games,3D game with interactive levels,“I enjoy designing and making fun experiences”,Game Development,KEEP
